City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
532,Dunedin,NZ,59.45,moderate rain,-45.8742,170.5036,Scenic Hotel Southern Cross
533,Calabasas,US,62.65,clear sky,34.1578,-118.6384,The Anza A Calabasas Hotel
535,Axim,GH,78.19,few clouds,4.8699,-2.2405,Axim Beach Resort And Spa
536,Coihaique,CL,55.35,overcast clouds,-45.5752,-72.0662,Diego De Almagro Coyhaique
537,Maragogi,BR,78.01,few clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
540,Champerico,GT,78.35,clear sky,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
543,Along,IN,67.77,broken clouds,28.1667,94.7667,Hotel West
544,Carballo,ES,52.02,broken clouds,43.213,-8.691,Pazo do Souto
545,Takoradi,GH,79.11,few clouds,4.8845,-1.7554,Raybow International Hotel
546,Tazmalt,DZ,56.21,overcast clouds,36.3868,4.3989,Hôtel Numédia
547,Itarema,BR,80.15,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
548,Tanga,TZ,76.26,overcast clouds,-5.0667,39.1,Lulu Image Hotel
549,Lima,PE,65.89,clear sky,-12.0432,-77.0282,Gran Hotel Bolivar Lima
550,Huarmey,PE,67.06,overcast clouds,-10.0681,-78.1522,Hotel Miramar
553,Guatire,VE,75.7,broken clouds,10.4762,-66.5427,Parque Residencial Canaima I
554,Seoul,KR,47.64,clear sky,37.5683,126.9778,Lotte Hotel Seoul
555,Wembley,AU,83.16,clear sky,-31.9333,115.8,Quest on Rheola
556,Xuddur,SO,67.96,broken clouds,4.1213,43.8894,Banjanay Hotel
557,Antalaha,MG,72.95,few clouds,-14.9003,50.2788,Hotel Vitasoa
558,Asfi,MA,60.66,scattered clouds,32.2994,-9.2372,Hôtel Abda
559,Manaure,CO,79.81,overcast clouds,11.7751,-72.4445,Hotel Palaaima
560,Jinchang,CN,41.74,clear sky,38.4953,102.1739,Mingshihui Jinchang International Hotel
561,Benguela,AO,75.79,overcast clouds,-12.5763,13.4055,Hotel Praia Morena
565,Prescott,US,52.9,overcast clouds,34.54,-112.4685,Prescott Resort & Conference Center
566,Laizhou,CN,48.22,clear sky,37.1717,119.9214,GreenTree Inn Yantai Laizhou South Road Unicom Building Express Hotel
568,Beira,MZ,78.89,light rain,-19.8436,34.8389,Beira Terrace Hotel
569,Itupiranga,BR,75.47,broken clouds,-5.1347,-49.3267,Hotel Panorama
570,Mahon,ES,54.16,moderate rain,39.8885,4.2658,ARTIEM Capri
571,Veinte De Noviembre,MX,74.89,clear sky,14.9833,-92.25,Proyecto Yum kaax
572,Kavaratti,IN,80.28,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
575,Gilgit,PK,45.41,overcast clouds,35.9221,74.3087,Tourist Hamlet Gilgit
576,Maracaibo,VE,77.05,overcast clouds,10.6317,-71.6406,Motel Aladdin
578,Grand Gaube,MU,78.39,few clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
581,Barao De Melgaco,BR,82.92,overcast clouds,-16.1944,-55.9675,Tuiuiu Pantanal Hotel
586,Lampazos De Naranjo,MX,63.7,overcast clouds,27.0167,-100.5167,Bella Vista
